Date,Description,Comments,Check Number,Amount,Balance
8/26/2021,POS TARGET T-2314 2941 Queensgate Dr     Richland     WAUS,,,($35.17),"$10,951.40 "
8/25/2021,POS  APPLE.COM/BILL         408-974-1010 CAUS,,,($1.08),"$10,986.57 "
8/25/2021,POS  SMOKE CITY FOR LESS    KENNEWICK    WAUS,,,($27.12),"$10,987.65 "
8/25/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($60.42),"$11,014.77 "
8/23/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($184.57),"$11,075.19 "
8/22/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($25.58),"$11,259.76 "
8/20/2021,Withdrawal Transfer to x4978,,,($200.00),"$11,285.34 "
8/20/2021,External Withdrawal UAS               x9418 - EPAYMENT,,,($184.06),"$11,485.34 "
8/19/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($200.00),"$11,669.40 "
8/17/2021,External Deposit GUSTO e3eu - PAY x2629,,,"$2,512.80 ","$11,869.40 "
8/17/2021,POS  COSTCO WHSE #0486      KENNEWICK    WAUS,,,($239.41),"$9,356.60 "
8/16/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($0.99),"$9,596.01 "
8/16/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($2.16),"$9,597.00 "
8/15/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($25.58),"$9,599.16 "
8/15/2021,POS  SQ *THE COLLECTORS CORNKENNEWICK    WAUS,,,($109.69),"$9,624.74 "
8/15/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($23.97),"$9,734.43 "
8/14/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($43.60),"$9,758.40 "
8/14/2021,POS  FRED-MEYER #0163 FRED MKENNEWICK    WAUS,,,($54.28),"$9,802.00 "
8/11/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($5.00),"$9,856.28 "
8/10/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($55.11),"$9,861.28 "
8/10/2021,POS MAVERIK #448 3520 KEENE ROAD        RICHLAND     WAUS,,,($3.58),"$9,916.39 "
8/9/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($44.51),"$9,919.97 "
8/8/2021,POS  CHIPOTLE 2573          KENNEWICK    WAUS,,,($25.30),"$9,964.48 "
8/7/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($60.03),"$9,989.78 "
8/7/2021,ATM Withdrawal GESA CREDIT UNION 4755 PARADISE WAY WU   WEST RICHLANDWAUS,,,($160.00),"$10,049.81 "
8/6/2021,POS  FRED-MEYER #0286 FRED MRICHLAND     WAUS,,,($168.80),"$10,209.81 "
8/5/2021,External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER,,,($102.98),"$10,378.61 "
8/4/2021,POS  APPLE.COM/BILL         866-712-7753 CAUS,,,($1.08),"$10,481.59 "
8/4/2021,POS  SMOKE CITY FOR LESS    KENNEWICK    WAUS,,,($94.99),"$10,482.67 "
8/3/2021,External Deposit GUSTO e3eu - PAY x5522,,,"$2,512.80 ","$10,577.66 "
8/2/2021,POS  SAFEWAY #0252          RICHLAND     WAUS,,,($74.59),"$8,064.86 "
8/2/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($23.55),"$8,139.45 "
8/2/2021,POS  AMAZON.COM             SEATTLE      WAUS,,,($26.88),"$8,163.00 "
8/2/2021,POS  RichlandAirportMiniStor509-x3855  WAUS,,,($139.00),"$8,189.88 "
8/1/2021,POS  SQ *THE COLLECTORS CORNKENNEWICK    WAUS,,,($152.04),"$8,328.88 "
7/31/2021,ATM Service Charge Rebate,,,$3.00 ,"$8,480.92 "
7/31/2021,Credit Interest,,,$11.40 ,"$8,477.92 "
7/31/2021,POS TARGET T-083 1106 N Columbia Cen    Kennewick    WAUS,,,($63.46),"$8,466.52 "
7/30/2021,POS  GEICO  *AUTO           800-841-3000 DCUS,,,($47.15),"$8,529.98 "
